[DEBUG] Time: 2026-03-30T10:51:21.426Z, UserID: 6985ad9668ec0c8186b251ee, Role: teacher, Courses Found: 6
[DEBUG] Time: 2026-03-30T10:51:21.721Z, UserID: 6985ad9668ec0c8186b251ee, Role: teacher, Courses Found: 6
[DEBUG] Time: 2026-03-30T10:51:22.233Z, UserID: 6985ad9668ec0c8186b251ee, Role: teacher, Courses Found: 6
[DEBUG] Time: 2026-03-30T10:51:22.969Z, UserID: 6985ad9668ec0c8186b251ee, Role: teacher, Courses Found: 6
[DEBUG] Time: 2026-03-30T10:51:23.637Z, UserID: 6985ad9668ec0c8186b251ee, Role: teacher, Courses Found: 6
[DEBUG] Time: 2026-03-30T10:51:24.283Z, UserID: 6985ad9668ec0c8186b251ee, Role: teacher, Courses Found: 6
[DEBUG] Time: 2026-03-30T10:51:25.757Z, UserID: 6985ad9668ec0c8186b251ee, Role: teacher, Courses Found: 6
[DEBUG] Time: 2026-03-30T10:51:27.336Z, UserID: 6985ad9668ec0c8186b251ee, Role: teacher, Courses Found: 6
[DEBUG] Time: 2026-03-30T10:52:48.750Z, UserID: 6985ad9668ec0c8186b251ee, Role: teacher, Courses Found: 6
[DEBUG] Time: 2026-03-30T10:52:50.039Z, UserID: 6985ad9668ec0c8186b251ee, Role: teacher, Courses Found: 6
[DEBUG] Time: 2026-03-30T10:53:06.035Z, UserID: 6985ad9668ec0c8186b251ee, Role: teacher, Courses Found: 6
[DEBUG] Time: 2026-03-30T10:53:06.712Z, UserID: 6985ad9668ec0c8186b251ee, Role: teacher, Courses Found: 6
[DEBUG] Time: 2026-03-30T10:54:15.044Z, UserID: 6985ad9668ec0c8186b251ee, Role: teacher, Courses Found: 6
[DEBUG] Time: 2026-03-30T10:54:15.670Z, UserID: 6985ad9668ec0c8186b251ee, Role: teacher, Courses Found: 6
[DEBUG] Time: 2026-03-30T11:05:52.583Z, UserID: 6985ad9668ec0c8186b251ee, Role: teacher, Courses Found: 6
[DEBUG] Time: 2026-03-30T11:05:54.054Z, UserID: 6985ad9668ec0c8186b251ee, Role: teacher, Courses Found: 6
